SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,Network Engineer III,Bachelors,7,Hour,$67.55,GS-35F-317CA,"2PIXELS, LLC",S,IT Schedule 70,Customer,1,5/6/2015,5/5/2020
132-51,QA/Tech Writer,Bachelors,5,Hour,$50.02,GS-35F-317CA,"2PIXELS, LLC",S,IT Schedule 70,Customer,1,5/6/2015,5/5/2020
132-51,Business Analyst I,Associates,1,Hour,$71.78,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$73.14,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$74.53,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$75.94,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$77.39,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$107.23,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$109.27,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$111.35,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$113.46,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$115.62,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$144.64,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$147.39,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$150.19,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$153.05,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$155.96,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer I,Associates,1,Hour,$101.44,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer I,Associates,1,Hour,$103.36,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer I,Associates,1,Hour,$105.33,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer I,Associates,1,Hour,$107.33,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer I,Associates,1,Hour,$109.37,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer II,Bachelors,5,Hour,$112.70,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer II,Bachelors,5,Hour,$114.84,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer II,Bachelors,5,Hour,$117.02,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer II,Bachelors,5,Hour,$119.24,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer II,Bachelors,5,Hour,$121.51,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer III,Bachelors,10,Hour,$135.24,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer III,Bachelors,10,Hour,$137.81,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer III,Bachelors,10,Hour,$140.43,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer III,Bachelors,10,Hour,$143.10,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer III,Bachelors,10,Hour,$145.82,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Enterprise Application Analyst/Designer,Bachelors,4,Hour,$133.98,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Enterprise Application Analyst/Designer,Bachelors,4,Hour,$136.53,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Enterprise Application Analyst/Designer,Bachelors,4,Hour,$139.12,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Enterprise Application Analyst/Designer,Bachelors,4,Hour,$141.76,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Enterprise Application Analyst/Designer,Bachelors,4,Hour,$144.46,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Enterprise Application Modeler/Developer,Bachelors,4,Hour,$122.69,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Enterprise Application Modeler/Developer,Bachelors,4,Hour,$125.02,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Enterprise Application Modeler/Developer,Bachelors,4,Hour,$127.39,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Enterprise Application Modeler/Developer,Bachelors,4,Hour,$129.81,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Enterprise Application Modeler/Developer,Bachelors,4,Hour,$132.28,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Help Desk Specialist,Associates,3,Hour,$42.33,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Help Desk Specialist,Associates,3,Hour,$43.13,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Help Desk Specialist,Associates,3,Hour,$43.95,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Help Desk Specialist,Associates,3,Hour,$44.79,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Help Desk Specialist,Associates,3,Hour,$45.64,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Business/Architectural Expert,Bachelors,10,Hour,$233.22,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Business/Architectural Expert,Bachelors,10,Hour,$237.66,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Business/Architectural Expert,Bachelors,10,Hour,$242.17,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Business/Architectural Expert,Bachelors,10,Hour,$246.77,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Business/Architectural Expert,Bachelors,10,Hour,$251.46,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Product Expert,Bachelors,10,Hour,$197.25,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Product Expert,Bachelors,10,Hour,$201.00,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Product Expert,Bachelors,10,Hour,$204.81,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Product Expert,Bachelors,10,Hour,$208.71,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Principal Enterprise Application Product Expert,Bachelors,10,Hour,$212.67,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Principal Industry/Functional Area Expert,Bachelors,10,Hour,$217.10,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Principal Industry/Functional Area Expert,Bachelors,10,Hour,$221.22,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Principal Industry/Functional Area Expert,Bachelors,10,Hour,$225.43,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Principal Industry/Functional Area Expert,Bachelors,10,Hour,$229.71,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Principal Industry/Functional Area Expert,Bachelors,10,Hour,$234.07,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Program Manager,Bachelors,11,Hour,$162.03,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Program Manager,Bachelors,11,Hour,$165.10,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Program Manager,Bachelors,11,Hour,$168.24,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Program Manager,Bachelors,11,Hour,$171.44,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Program Manager,Bachelors,11,Hour,$174.70,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Programmer I,Associates,1,Hour,$67.51,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Programmer I,Associates,1,Hour,$68.79,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Programmer I,Associates,1,Hour,$70.10,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Programmer I,Associates,1,Hour,$71.43,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Programmer I,Associates,1,Hour,$72.78,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Programmer II,Bachelors,5,Hour,$74.34,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Programmer II,Bachelors,5,Hour,$75.76,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Programmer II,Bachelors,5,Hour,$77.20,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Programmer II,Bachelors,5,Hour,$78.66,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Programmer II,Bachelors,5,Hour,$80.16,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Programmer III,Bachelors,10,Hour,$91.90,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Programmer III,Bachelors,10,Hour,$93.65,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Programmer III,Bachelors,10,Hour,$95.43,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Programmer III,Bachelors,10,Hour,$97.24,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Programmer III,Bachelors,10,Hour,$99.09,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Project Manager,Bachelors,12,Hour,$145.86,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Project Manager,Bachelors,12,Hour,$148.63,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Project Manager,Bachelors,12,Hour,$151.45,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Project Manager,Bachelors,12,Hour,$154.33,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Project Manager,Bachelors,12,Hour,$157.26,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Analyst/Designer,Bachelors,6,Hour,$152.85,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Analyst/Designer,Bachelors,6,Hour,$155.75,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Analyst/Designer,Bachelors,6,Hour,$158.71,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Analyst/Designer,Bachelors,6,Hour,$161.73,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Analyst/Designer,Bachelors,6,Hour,$164.80,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Business/Architectural Expert,Bachelors,6,Hour,$172.69,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Business/Architectural Expert,Bachelors,6,Hour,$175.97,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Business/Architectural Expert,Bachelors,6,Hour,$179.31,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Business/Architectural Expert,Bachelors,6,Hour,$182.72,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Business/Architectural Expert,Bachelors,6,Hour,$186.19,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Product Expert,Bachelors,6,Hour,$173.96,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Product Expert,Bachelors,6,Hour,$177.26,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Senior Enterprise Application Product Expert,Bachelors,6,Hour,$180.63,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
